Distance_km,Bed_Elevation_m,Latitude,Longitude
5.203745568353348006e+00,-7.467726041803485941e+02,7.289033412001921874e+01,-5.485839913636262111e+01
5.238906025888742768e+00,-7.471738215170776130e+02,7.289033593913546838e+01,-5.485946942075145927e+01
5.274066483591557386e+00,-7.475741051815343781e+02,7.289033775236636359e+01,-5.486053970537079039e+01
5.309226941461501426e+00,-7.479764784337094170e+02,7.289033955971187595e+01,-5.486160999021987550e+01
5.344387399497604996e+00,-7.483809412735994329e+02,7.289034136117203388e+01,-5.486268027529795432e+01
5.379547857699804148e+00,-7.487840730472188397e+02,7.289034315674682318e+01,-5.486375056060429500e+01
5.414708316067586402e+00,-7.491846173350553499e+02,7.289034494643622963e+01,-5.486482084613815147e+01
5.449868774600195920e+00,-7.495862713214817177e+02,7.289034673024025324e+01,-5.486589113189877054e+01
5.485029233296897289e+00,-7.499890350064940776e+02,7.289034850815890820e+01,-5.486696141788539904e+01
5.520189692157403627e+00,-7.503941222747769189e+02,7.289035028019219453e+01,-5.486803170409729802e+01
5.555350151181183804e+00,-7.508119986876150733e+02,7.289035204634008380e+01,-5.486910199053372139e+01
5.590510610367497968e+00,-7.512307171388222287e+02,7.289035380660260444e+01,-5.487017227719391599e+01
5.625671069716059236e+00,-7.516502776284007723e+02,7.289035556097972801e+01,-5.487124256407714284e+01
5.660831529226124204e+00,-7.520706801563493400e+02,7.289035730947146874e+01,-5.487231285118264879e+01
5.695991988897407765e+00,-7.525020390088875502e+02,7.289035905207782662e+01,-5.487338313850969485e+01
5.731152448728924043e+00,-7.529379926097675479e+02,7.289036078879878744e+01,-5.487445342605752074e+01
5.766312908720850672e+00,-7.533652150306597832e+02,7.289036251963435120e+01,-5.487552371382540173e+01
5.801473368871751468e+00,-7.537901326988984465e+02,7.289036424458453212e+01,-5.487659400181256331e+01
5.836633829181555377e+00,-7.542212675792038681e+02,7.289036596364930176e+01,-5.487766429001827362e+01
5.871794289650013710e+00,-7.546612722817632175e+02,7.289036767682870277e+01,-5.487873457844179370e+01
5.906954750276104171e+00,-7.551036480173356722e+02,7.289036938412267830e+01,-5.487980486708236327e+01
5.942115211059099344e+00,-7.555483947859166847e+02,7.289037108553125677e+01,-5.488087515593922916e+01
5.977275671999409568e+00,-7.559955125875061412e+02,7.289037278105442397e+01,-5.488194544501167371e+01
6.012436133095365065e+00,-7.564377567301017962e+02,7.289037447069220832e+01,-5.488301573429891533e+01
6.047596594347126597e+00,-7.568818554122836986e+02,7.289037615444456719e+01,-5.488408602380022927e+01
6.082757055753949871e+00,-7.573279379965982798e+02,7.289037783231151479e+01,-5.488515631351486235e+01
6.117917517315333065e+00,-7.577760044830513380e+02,7.289037950429306534e+01,-5.488622660344206849e+01
6.153077979030745936e+00,-7.582189841757372051e+02,7.289038117038919040e+01,-5.488729689358110164e+01
6.188238440899446857e+00,-7.586597690164173855e+02,7.289038283059990420e+01,-5.488836718393120861e+01
6.223398902921395859e+00,-7.591029237413519013e+02,7.289038448492522093e+01,-5.488943747449165755e+01
6.258559365095107907e+00,-7.595484483505406388e+02,7.289038613336508377e+01,-5.489050776526167397e+01
